year,Total Casualties Fatalities,Total Casualties Injured
1981,273,na
1982,307,na
1983,298,na
1984,327,na
1985,265,na
1986,251,na
1987,205,na
1988,226,na
1989,230,na
1990,236,na
1991,243,na
1992,239,na
1993,258,na
1994,254,na
1995,225,na
1996,225,na
1997,257,na
1998,221,na
1999,198,na
2000,213,na
2001,194,na
2002,199,na
2003,212,na
2004,193,na
2005,173,na
2006,190,9706
2007,214,10352
2008,221,10760
2009,183,10886
2010,193,11328
2011,195,10611
2012,168,10253
2013,160,9751
2014,155,9858
2015,151,10412
2016,141,10687
2017,121,9953
2018,124,10018
2019,118,9833
2020,83,6669
2021,107,7184
2022,108,8252
